Task,AppTime,MPITime,MPI%
0,6.9,2.84,41.22
1,6.9,2.88,41.73
2,6.9,2.73,39.51
3,6.9,2.87,41.63
4,6.9,2.79,40.41
5,6.9,2.92,42.28
6,6.9,2.99,43.31
7,6.9,2.88,41.74
8,6.9,2.95,42.79
9,6.9,2.94,42.54
10,6.9,2.87,41.59
11,6.9,2.97,42.97
12,6.9,2.77,40.07
13,6.9,2.83,41.05
14,6.9,2.86,41.50
15,6.9,3.01,43.61
16,6.9,2.8,40.59
17,6.9,2.9,42.06
18,6.9,2.82,40.91
19,6.9,2.91,42.09
20,6.9,2.81,40.78
21,6.9,2.93,42.41
22,6.9,2.72,39.40
23,6.9,2.93,42.38
24,6.9,2.84,41.20
25,6.9,3.01,43.61
26,6.9,3.16,45.72
27,6.9,5.85,84.72
28,6.9,5.88,85.15
29,6.9,5.9,85.42
30,6.9,5.84,84.59
31,6.9,5.86,84.87